Model,Accuracy,Macro Precision,Macro Recall,Macro F1
Logistic Regression,0.7764705882352941,0.779954445121025,0.7764988610031027,0.7777819836643367
Linear SVM,0.7574660633484163,0.7592071412815423,0.7575163976277444,0.7581899748676868
Multinomial Naive Bayes,0.718552036199095,0.7221755368814192,0.718616216959271,0.7193617316071146
K-Nearest Neighbors,0.7058823529411765,0.7102778760842666,0.7059473312124426,0.7070517039517442
Decision Tree,0.7067873303167421,0.7184572856207776,0.7067107537017399,0.7057230786627214
